VUOSI;UUDENMAAN LÄÄNI;TURUN JA PORIN LÄÄNI;AHVENANMAA;HÄMEEN LÄÄNI;VIIPURIN LÄÄNI;KYMEN LÄÄNI;MIKKELIN LÄÄNI;KUOPION LÄÄNI;POHJOIS-KARJALAN LÄÄNI;KESKI-SUOMEN LÄÄNI;VAASAN LÄÄNI;OULUN LÄÄNI;LAPIN LÄÄNI;Yhteensä;;;;;;;;;;;;
1917;2132;922;;1652;1199;;469;636;;;615;244;;7869;;;;;;;;;;;;
1918;1493;626;;919;854;;215;276;;;292;176;;4851;;;;;;;;;;;;
1919;2003;845;;1334;1237;;370;488;;;682;307;;7266;;;;;;;;;;;;
1920;1879;763;;1226;941;;420;626;;;544;278;;6677;;;;;;;;;;;;
1921;1252;657;;888;698;;235;353;;;388;213;;4684;;;;;;;;;;;;
1922;1280;606;10;811;792;;249;459;;;386;174;;4767;;;;;;;;;;;;
1923;1439;646;24;872;715;;352;419;;;531;159;;5157;;;;;;;;;;;;
1924;1597;724;39;1013;879;;370;479;;;681;198;;5980;;;;;;;;;;;;
1925;1766;685;10;1130;878;;426;534;;;535;291;;6255;;;;;;;;;;;;
1926;1824;792;22;1187;919;;384;569;;;545;269;;6511;;;;;;;;;;;;
1927;2301;832;20;1308;1133;;483;604;;;603;307;;7591;;;;;;;;;;;;
1928;2600;909;13;1617;1394;;513;736;;;716;377;;8875;;;;;;;;;;;;
1929;2862;953;9;1848;1338;;617;869;;;763;390;;9649;;;;;;;;;;;;
1930;2816;1048;13;1844;1584;;622;797;;;823;401;;9948;;;;;;;;;;;;
1931;10151;4373;157;6202;6093;;2484;3273;;;3049;1431;;37213;;;;;;;;;;;;
1932;3166;1182;38;1642;1663;;410;734;;;686;386;;9907;;;;;;;;;;;;
1933;2821;1056;27;1409;1489;;370;645;;;610;416;;8843;;;;;;;;;;;;
1934;3095;1137;29;1666;1718;;442;741;;;807;394;;10029;;;;;;;;;;;;
1935;3252;1288;41;1830;1821;;497;850;;;949;507;;11035;;;;;;;;;;;;
1936;3388;1428;46;2121;2139;;553;972;;;1050;551;;12248;;;;;;;;;;;;
1937;4366;1848;44;2950;2806;;792;1422;;;1348;824;;16400;;;;;;;;;;;;
1938;5436;2029;70;3263;3611;;937;1663;;;1598;757;269;19633;;;;;;;;;;;;
1939;4438;1697;29;2757;3788;;800;1300;;;1367;664;245;17085;;;;;;;;;;;;
1940;3362;971;32;1433;5120;;350;778;;;671;312;123;13152;;;;;;;;;;;;
1941;2544;997;36;1293;2553;;385;620;;;649;246;136;9459;;;;;;;;;;;;
1942;2292;989;15;1299;1939;;396;629;;;614;335;117;8625;;;;;;;;;;;;
1943;2434;1226;27;1605;2681;;531;881;;;812;434;157;10788;;;;;;;;;;;;
1944;2066;991;26;1175;2988;;441;767;;;688;377;118;9637;;;;;;;;;;;;
1945;2804;1503;55;1808;;3633;614;1111;;;1149;590;288;13555;;;;;;;;;;;;
1946;1997;1302;48;1624;;1005;570;929;;;879;450;270;11011;;;;;;;;;;;;
1947;1557;1027;41;1351;;680;424;836;;;771;420;206;9059;;;;;;;;;;;;
1948;1668;1068;32;1620;;762;421;757;;;845;442;236;9457;;;;;;;;;;;;
1949;1919;1149;51;1677;;874;538;1221;;;961;483;327;11523;;;;;;;;;;;;
1950;2816;1686;36;2320;;1075;908;1772;;;1397;588;308;12906;;;;;;;;;;;;
1951;2711;1641;23;2461;;1227;950;1809;;;1459;648;341;13270;;;;;;;;;;;;
1952;3107;1680;29;2759;;1407;994;1766;;;1411;670;315;14138;;;;;;;;;;;;
1953;3760;1777;27;2553;;1268;851;1531;;;1310;605;354;14036;;;;;;;;;;;;
1954;3489;1673;25;2664;;1303;858;1531;;;1375;688;277;13883;;;;;;;;;;;;
1955;4446;2000;20;3222;;1618;1021;2201;;;1593;780;372;17273;;;;;;;;;;;;
1956;4671;2033;24;3134;;1551;1139;2380;;;1822;837;309;17900;;;;;;;;;;;;
1957;5119;1863;20;3045;;1624;1142;2483;;;1877;941;370;18484;;;;;;;;;;;;
1958;6020;1536;12;2844;;1385;944;1844;;;1547;801;272;17205;;;;;;;;;;;;
1959;6066;1788;19;2886;;1421;976;2092;;;1550;817;302;17917;;;;;;;;;;;;
1960;8289;2172;39;3744;;1895;1305;1519;1620;1056;1424;1164;430;24657;;;;;;;;;;;;
1961;7895;2314;18;3668;;1811;1252;1762;1613;1034;1272;1202;455;24296;;;;;;;;;;;;
1962;7982;2316;14;3504;;1924;1359;1621;1667;1124;1264;1213;474;24462;;;;;;;;;;;;
1963;8169;2166;35;3798;;1881;1303;1272;1677;1243;1303;1296;495;24638;;;;;;;;;;;;
1964;8150;2097;13;3491;;1771;1232;1635;1593;1224;1243;1313;497;24259;;;;;;;;;;;;
1965;8661;2127;26;3555;;1872;1358;1673;1760;1292;1311;1367;582;25584;;;;;;;;;;;;
1966;8801;2082;14;3444;;1902;1420;1740;1552;1196;1350;1414;629;25544;;;;;;;;;;;;
1967;8558;2070;36;3158;;1889;1367;1641;1556;1325;1242;1643;639;25124;;;;;;;;;;;;
1968;7913;1747;14;2843;;1642;1178;1400;1333;1046;1077;1345;582;22120;;;;;;;;;;;;
1969;7530;1672;25;2831;;1606;1291;1458;1503;1064;1124;1367;585;22056;;;;;;;;;;;;
1970;7654;1692;23;2806;;1565;1469;1703;1498;1121;1141;1370;503;22545;;;;;;;;;;;;
1971;7601;1580;13;2657;;1409;1214;1462;1415;962;1018;1342;498;21171;;;;;;;;;;;;
1972;9589;1679;17;2767;;1506;1294;1441;1386;1069;1071;1422;550;23791;;;;;;;;;;;;
1973;10124;1665;17;2784;;1617;1219;1303;1227;1010;1116;1327;593;24002;;;;;;;;;;;;
1974;12715;1689;28;2768;;1531;1266;1298;1168;997;1110;1231;573;26374;;;;;;;;;;;;
1975;10744;1607;34;2576;;1479;1059;926;1059;878;961;1018;493;22834;;;;;;;;;;;;
1976;10063;1305;12;2050;;1093;844;774;741;709;678;816;332;19417;;;;;;;;;;;;
1977;10968;1159;19;1882;;1060;707;675;629;595;644;689;301;19328;;;;;;;;;;;;
1978;11222;1115;9;1778;;982;626;644;529;544;532;685;277;18943;;;;;;;;;;;;
1979;11567;1216;27;1954;;1120;773;714;637;625;693;738;308;20372;;;;;;;;;;;;
1980;11169;1248;11;1966;;1150;809;673;643;667;676;839;322;20173;;;;;;;;;;;;
1981;10908;1305;12;2045;;1203;765;738;666;632;729;780;381;20164;;;;;;;;;;;;
1982;11045;1235;19;1959;;1188;809;733;610;730;696;803;338;20165;;;;;;;;;;;;
1983;10279;1303;15;2017;;1292;759;836;597;666;815;849;378;19806;;;;;;;;;;;;
1984;9601;1239;15;1900;;1268;746;788;655;715;791;974;479;19171;;;;;;;;;;;;
1985;10532;1395;19;2074;;1400;828;822;693;800;955;1090;548;21156;;;;;;;;;;;;
1986;10232;1310;17;1893;;1222;774;649;613;753;829;985;554;19831;;;;;;;;;;;;
1987;10547;1491;14;2167;;1482;836;841;646;778;997;1130;625;21554;;;;;;;;;;;;
1988;10965;1546;21;2125;;1380;817;851;668;722;995;1108;592;21790;;;;;;;;;;;;
1989;10262;1278;19;1969;;1297;729;638;756;708;964;1073;538;20231;;;;;;;;;;;;
1990;10070;1407;19;1934;;1099;697;581;803;707;954;952;511;19734;;;;;;;;;;;;
1991;11690;1326;19;1854;;1043;725;457;638;587;817;758;397;20311;;;;;;;;;;;;
1992;12263;1194;17;1814;;881;536;441;505;496;609;654;304;19714;;;;;;;;;;;;
1993;13809;1490;21;2251;;1187;649;443;704;630;876;806;361;23227;;;;;;;;;;;;
1994;14045;1723;14;2745;;1324;793;498;763;695;972;923;481;24976;;;;;;;;;;;;
